dataset,column,count,mean,std,min,5%,25%,50%,75%,95%,max,skew
historical_2015_2024,player_season_uid,20793.0,42363.98105131535,72196.71448401904,0.0,258.0,1914.0,21507.0,39121.0,195993.0,474789.0,3.0084841608383597
historical_2015_2024,season,20793.0,2019.542394074929,3.01617162106819,2015.0,2015.0,2017.0,2020.0,2022.0,2024.0,2024.0,-0.03481919147754394
historical_2015_2024,league_id,20793.0,93.02553744048478,40.33247946207176,39.0,39.0,61.0,78.0,135.0,140.0,140.0,0.011865623133254928
historical_2015_2024,api_player_id,20793.0,42363.98105131535,72196.71448401904,0.0,258.0,1914.0,21507.0,39121.0,195993.0,474789.0,3.0084841608383597
historical_2015_2024,api_team_id,20793.0,308.7067763189535,254.85348841763724,33.0,40.0,84.0,172.0,505.0,724.0,1579.0,1.0232010436091905
historical_2015_2024,target_market_value_eur,20793.0,10048632.953397779,15424294.408467175,25000.0,400000.0,1500000.0,4000000.0,12000000.0,40000000.0,200000000.0,3.7126712156239385
historical_2015_2024,target_market_value_log,20793.0,15.264899026618162,1.380148838057876,10.12667110305036,12.899222326086994,14.220976332738882,15.201805169084134,16.300417291085605,17.50439003707821,19.11382792951231,-0.10392036554460479
historical_2015_2024,last_market_value_eur,20793.0,9409924.974751119,14265453.456473883,25000.0,300000.0,1500000.0,4000000.0,11000000.0,38000000.0,180000000.0,3.573397116531439
historical_2015_2024,last_market_value_log,20793.0,15.17604711427798,1.437742272774794,10.12667110305036,12.611541086966117,14.220976332738882,15.201805169084134,16.213405921671733,17.453096744006448,19.00846741441004,-0.280477118376332
historical_2015_2024,has_last_market_value,20793.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
historical_2015_2024,api_league_id,20793.0,93.02553744048478,40.33247946207176,39.0,39.0,61.0,78.0,135.0,140.0,140.0,0.011865623133254928
historical_2015_2024,api_season,20793.0,2019.542394074929,3.01617162106819,2015.0,2015.0,2017.0,2020.0,2022.0,2024.0,2024.0,-0.03481919147754394
historical_2015_2024,api_squad_rows,20793.0,22.931323041408167,11.03685353187875,1.0,2.0,14.0,25.0,33.0,37.0,40.0,-0.46368425842787403
historical_2015_2024,api_appearances,20793.0,19.962006444476508,11.19601747435355,1.0,1.0,10.0,21.0,30.0,36.0,39.0,-0.20108092496566926
historical_2015_2024,api_starts,20793.0,16.149425287356323,11.274907734543952,0.0,0.0,6.0,15.0,26.0,34.0,38.0,0.1672503862592658
historical_2015_2024,api_sub_appearances,20793.0,3.8125811571201846,4.430356673278933,0.0,0.0,1.0,2.0,6.0,13.0,30.0,1.7143602545484922
historical_2015_2024,api_minutes,20793.0,1366.9659019862454,974.3202315276469,1.0,35.0,470.0,1276.0,2168.0,3015.0,3438.0,0.26681637370010475
historical_2015_2024,api_avg_rating,20793.0,6.856221516856634,0.2832268655560568,3.0,6.4126,6.691,6.854,7.015,7.303,8.844,-0.3121751541752653
historical_2015_2024,api_offsides,20793.0,1.5149329101139806,3.794041199192764,0.0,0.0,0.0,0.0,1.0,9.0,57.0,4.424126148470591
historical_2015_2024,api_shots_total,20793.0,15.316500745443179,19.701685499799375,0.0,0.0,2.0,9.0,21.0,55.0,227.0,2.5168266266177817
historical_2015_2024,api_shots_on,20793.0,6.115808204684269,8.89786196613802,0.0,0.0,0.0,3.0,8.0,24.0,98.0,2.7265322197649384
historical_2015_2024,api_goals_total,20793.0,1.9035252248352812,3.473297742853987,0.0,0.0,0.0,1.0,2.0,9.0,41.0,3.545161385122925
historical_2015_2024,api_goals_conceded,20793.0,1.9501755398451401,8.690087530622723,0.0,0.0,0.0,0.0,0.0,12.0,91.0,5.059143436070868
historical_2015_2024,api_goals_assists,20793.0,1.3362670129370462,2.0783381045709364,0.0,0.0,0.0,0.0,2.0,6.0,20.0,2.429789074605039
historical_2015_2024,api_goals_saves,20793.0,4.146972538835185,18.621897072870933,0.0,0.0,0.0,0.0,0.0,21.0,162.0,5.014167963008766
historical_2015_2024,api_passes_total,20793.0,555.427740104843,502.2710917421213,0.0,11.600000000000136,152.0,430.0,830.0,1552.3999999999978,3630.0,1.2247450770714168
historical_2015_2024,api_passes_key,20793.0,13.21343721444717,15.998597304150735,0.0,0.0,2.0,7.0,19.0,46.0,147.0,2.0091123704258855
historical_2015_2024,api_tackles_total,20793.0,15.994757851199923,20.067964106228647,0.0,0.0,0.0,8.0,26.0,57.0,175.0,1.6326516077016868
historical_2015_2024,api_tackles_blocks,20793.0,3.237387582359448,5.876495392656833,0.0,0.0,0.0,1.0,4.0,15.399999999997817,78.0,3.0391765677163525
historical_2015_2024,api_tackles_interceptions,20793.0,15.799355552349349,18.348459691101993,0.0,0.0,2.0,9.0,24.0,54.0,156.0,1.7606445977030638
historical_2015_2024,api_duels_total,20793.0,140.5759149713846,122.1480177749734,0.0,1.0,31.0,119.0,220.0,364.0,941.0,0.9060382881408572
historical_2015_2024,api_duels_won,20793.0,70.26734958880392,61.782772248360295,0.0,0.0,15.0,58.0,110.0,186.0,462.0,0.9133301332451864
historical_2015_2024,api_dribbles_attempts,20793.0,22.211369210792093,28.423870456222676,0.0,0.0,3.0,12.0,31.0,81.0,276.0,2.33925952756226
historical_2015_2024,api_dribbles_success,20793.0,12.151685663444429,15.837243303762103,0.0,0.0,1.0,7.0,17.0,44.0,185.0,2.5895302393796427
historical_2015_2024,api_dribbles_past,20793.0,12.102294041263887,12.45259850518249,0.0,0.0,2.0,9.0,18.0,37.0,108.0,1.5979395517129067
historical_2015_2024,api_fouls_drawn,20793.0,16.436781609195403,16.852286916851384,0.0,0.0,3.0,12.0,24.0,50.0,199.0,1.696353905021233
historical_2015_2024,api_fouls_committed,20793.0,17.247246669552254,15.267626490862234,0.0,0.0,4.0,14.0,26.0,46.0,121.0,1.0246309823585262
historical_2015_2024,api_cards_yellow,20793.0,2.861636127542923,2.8219659939371895,0.0,0.0,1.0,2.0,4.0,9.0,17.0,1.1788630453710505
historical_2015_2024,api_cards_red,20793.0,0.13509354109556101,0.3810842353769015,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0488763368014475
historical_2015_2024,api_penalty_won,20793.0,0.16875871687587168,0.5029169273984693,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.100833950024712
historical_2015_2024,api_penalty_commited,20793.0,0.20396287212042513,0.5001920302337235,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.811009186173667
historical_2015_2024,api_penalty_scored,20793.0,0.17332756216034242,0.7545337976063039,0.0,0.0,0.0,0.0,0.0,1.0,14.0,6.347974745166759
historical_2015_2024,api_penalty_missed,20793.0,0.048381666907132206,0.2520909140151297,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.346734896922739
historical_2015_2024,api_penalty_saved,20793.0,0.03284759293993171,0.23767878125724262,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.036673148029596
historical_2015_2024,api_goals_total_per90,20793.0,0.11692324339922089,0.29641434253651366,0.0,0.0,0.0,0.03,0.159,0.486,30.0,51.55568560410223
historical_2015_2024,api_goals_assists_per90,20793.0,0.08473938344635214,0.19440162514329448,0.0,0.0,0.0,0.0,0.123,0.311,10.0,17.155376900991573
historical_2015_2024,api_shots_total_per90,20793.0,1.0855600442456597,2.0132698658825063,0.0,0.0,0.267,0.711,1.587,3.0477999999999956,180.0,44.23938046498
historical_2015_2024,api_shots_on_per90,20793.0,0.42045645169047274,0.928615424706865,0.0,0.0,0.0,0.216,0.624,1.3523999999999978,90.0,48.82220991321573
historical_2015_2024,api_passes_key_per90,20793.0,0.8877173568027702,1.4490099575751971,0.0,0.0,0.202,0.721,1.269,2.316,90.0,36.19278635663444
historical_2015_2024,api_tackles_total_per90,20793.0,1.1428015197422208,2.2244340554527793,0.0,0.0,0.0,0.938,1.755,3.012,180.0,37.614699676206264
historical_2015_2024,api_duels_won_per90,20793.0,4.984130236137161,4.956664220196065,0.0,0.0,3.513,4.86,6.186,9.0,270.0,19.57943046356598
historical_2015_2024,api_cards_yellow_per90,20793.0,0.2393188573077478,1.4632393588592192,0.0,0.0,0.034,0.157,0.282,0.5703999999999978,90.0,56.07515584791025
historical_2015_2024,api_cards_red_per90,20793.0,0.013983407877651132,0.20852214408697822,0.0,0.0,0.0,0.0,0.0,0.061,18.0,61.12901019563761
historical_2015_2024,api_height,20793.0,182.61164815081997,6.562032184604028,160.0,171.0,178.0,183.0,187.0,193.0,203.0,-0.12530371115307082
historical_2015_2024,api_weight,20793.0,76.55499446929255,7.116714294272641,50.0,65.0,72.0,76.0,81.0,89.0,101.0,0.15518765380105765
historical_2015_2024,understat_season,20793.0,1974.7818015678354,304.6333337278872,1516.0,1516.0,1718.0,2021.0,2223.0,2425.0,2425.0,-0.03481919147759985
historical_2015_2024,understat_league_id,20793.0,2.9188669263694513,1.3853540604051702,1.0,1.0,2.0,3.0,4.0,5.0,5.0,0.1343211281279818
historical_2015_2024,understat_season_id,20793.0,2019.542394074929,3.01617162106819,2015.0,2015.0,2017.0,2020.0,2022.0,2024.0,2024.0,-0.03481919147754394
historical_2015_2024,understat_team_id,20793.0,141.83532919732602,51.105116987059574,71.0,78.0,104.0,132.0,166.0,245.0,288.0,0.9309372263675825
historical_2015_2024,understat_player_id,20793.0,4575.182609532054,3634.658762592462,1.0,242.60000000000014,1352.0,3521.0,7322.0,11295.0,13649.0,0.5573964500576306
historical_2015_2024,understat_matches,20793.0,20.605396046746502,10.972628671457658,1.0,2.0,12.0,22.0,30.0,36.0,39.0,-0.2884745074170425
historical_2015_2024,understat_minutes,20793.0,1403.9727793007262,969.5894220218704,1.0,36.0,530.0,1346.0,2204.0,3031.399999999998,3504.0,0.2175031632743798
historical_2015_2024,understat_goals,20793.0,1.9633049583994613,3.5114212161812772,0.0,0.0,0.0,1.0,2.0,9.0,41.0,3.475858298213797
historical_2015_2024,understat_xg,20793.0,2.061082285406024,3.3101009849620304,0.0,0.0,0.1329247010871768,0.8404327025637031,2.489345548674464,8.548546108230937,37.92406944185496,3.394685006841332
historical_2015_2024,understat_np_goals,20793.0,1.7840619439234358,3.1011115661579742,0.0,0.0,0.0,1.0,2.0,8.0,37.0,3.278378386566778
historical_2015_2024,understat_np_xg,20793.0,1.8877315900825289,2.9125536346006564,0.0,0.0,0.1323958542197942,0.8182645915076137,2.3463018126785755,7.634352199546982,34.13518474251032,3.2188049503415184
historical_2015_2024,understat_assists,20793.0,1.3779156446881162,2.098208469952446,0.0,0.0,0.0,1.0,2.0,6.0,20.0,2.3893953406744974
historical_2015_2024,understat_xa,20793.0,1.4538884097306692,1.9189719159576577,0.0,0.0,0.1030394025146961,0.7358659468591213,2.04548772983253,5.419838165864348,18.07445976138115,2.3163756293052065
historical_2015_2024,understat_shots,20793.0,18.178473524743904,21.958652298603255,0.0,0.0,3.0,11.0,25.0,63.0,227.0,2.178829281445642
historical_2015_2024,understat_key_passes,20793.0,13.466070312124273,15.855452040168885,0.0,0.0,2.0,8.0,20.0,46.0,146.0,1.9379963661219004
historical_2015_2024,understat_yellow_cards,20793.0,2.8130620882027606,2.6978142679933512,0.0,0.0,1.0,2.0,4.0,8.0,18.0,1.130786680484384
historical_2015_2024,understat_red_cards,20793.0,0.13759438272495553,0.3844654743821807,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0285825310165424
historical_2015_2024,understat_xg_chain,20793.0,5.600856587001307,5.581997489991042,0.0,0.0405709199607372,1.4301361963152883,4.037138158455491,8.017597679048777,16.83132955655455,52.40942087769509,1.730144499914064
historical_2015_2024,understat_xg_buildup,20793.0,3.3297732953364787,3.4045570295169996,0.0,0.0,0.7968364469707012,2.3926545549184084,4.7740294598042965,10.101803394779559,28.058832820504904,1.8006582135064422
historical_2015_2024,transfermarkt_age_at_season,20793.0,25.630067811282643,4.305870354262171,16.0,19.0,22.0,25.0,29.0,33.0,42.0,0.3064831164736568
historical_2015_2024,matched_last_transfermarkt,20793.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
historical_2015_2024,matched_understat,20793.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
historical_2015_2024,matched_transfermarkt,20793.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
historical_2015_2024,player_season_duplicate_n,20793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical_2015_2024,player_age,20793.0,25.630067811282643,4.305870354262171,16.0,19.0,22.0,25.0,29.0,33.0,42.0,0.3064831164736568
historical_2015_2024,player_age_sq,20793.0,675.4400038474487,227.55844876663855,256.0,361.0,484.0,625.0,841.0,1089.0,1764.0,0.6912445304896488
historical_2015_2024,age_peak_gap,20793.0,-1.3699321887173568,4.305870354262171,-11.0,-8.0,-5.0,-2.0,2.0,6.0,15.0,0.3064831164736568
historical_2015_2024,is_u21,20793.0,0.18602414274034532,0.3891355080513873,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6138648559056354
historical_2015_2024,is_u23,20793.0,0.3402106478141682,0.4737912607683092,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6745786021396637
historical_2015_2024,is_over30,20793.0,0.19650844034049922,0.3973669175204495,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.527659907203315
historical_2015_2024,player_height_cm,20793.0,182.61164815081997,6.562032184604028,160.0,171.0,178.0,183.0,187.0,193.0,203.0,-0.12530371115307082
historical_2015_2024,player_weight_kg,20793.0,76.55499446929255,7.116714294272641,50.0,65.0,72.0,76.0,81.0,89.0,101.0,0.15518765380105765
historical_2015_2024,player_bmi,20793.0,22.927613981308074,1.3543319925677868,17.181669306558565,20.679012345679013,22.03840115928028,22.955684331345708,23.78121284185493,25.103967881126895,29.761904761904766,0.03324124996729005
historical_2015_2024,api_avg_rating_missing,20793.0,0.008223921512047323,0.09031434496883038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.891368038782788
historical_2015_2024,log_minutes,20793.0,6.682760813701453,1.403760872514587,0.6931471805599453,3.58351893845611,6.154858094016418,7.152268856032539,7.682021510826875,8.011686729127847,8.142936010432265,-1.6525754483917214
historical_2015_2024,minutes_share_3420,20793.0,0.39969660561091885,0.28488678819672675,0.0002923976608187,0.0102339181286549,0.1374269005847953,0.3730994152046784,0.6339181286549708,0.881578947368421,1.0,0.26678504162064415
historical_2015_2024,minutes_per_appearance,20793.0,61.55770147454968,23.84304526075066,1.0,14.0,45.28,67.34210526315789,81.96,90.0,100.0,-0.7006891715299824
historical_2015_2024,start_rate,20793.0,0.7382289256687687,0.2937608690798974,0.0,0.0,0.6,0.8461538461538461,0.9714285714285714,1.0,1.0,-1.2141725459227857
historical_2015_2024,minutes_per_start,20793.0,80.66938816790962,34.024995353865144,0.0,0.0,74.84,85.66666666666667,90.0,116.5,606.0,1.614726379629523
historical_2015_2024,sub_appearance_rate,20793.0,0.2617710743312312,0.2937608690798974,0.0,0.0,0.0285714285714285,0.1538461538461538,0.4,1.0,1.0,1.2141725459227866
historical_2015_2024,understat_goals_per90,20793.0,0.12220890572534024,0.4024497195839168,0.0,0.0,0.0,0.0337457817772778,0.162748643761302,0.4881306561438002,45.0,70.54246880716282
historical_2015_2024,understat_xg_per90,20793.0,0.14639982287607273,0.47768942153448385,0.0,0.0,0.0167109403161815,0.0650846706184531,0.1891082889339741,0.49584351823283584,55.53440809249878,78.73808226102533
historical_2015_2024,understat_np_goals_per90,20793.0,0.11349559600464028,0.3970455770035025,0.0,0.0,0.0,0.0314355571079287,0.1523358158429248,0.4466501240694789,45.0,73.47903554202775
historical_2015_2024,understat_np_xg_per90,20793.0,0.13767288595027866,0.47338826669678946,0.0,0.0,0.0165242730364413,0.0628055987948715,0.176787795050137,0.4596858757898441,55.53440809249878,80.934096724186
historical_2015_2024,understat_assists_per90,20793.0,0.08878686785240705,0.3122744253872643,0.0,0.0,0.0,0.0297914597815292,0.1250578971746178,0.31299682498542064,30.0,55.13069618962772
historical_2015_2024,understat_xa_per90,20793.0,0.1003367396481342,0.3737215810780904,0.0,0.0,0.0121583503422192,0.0615181067215905,0.1355395230458414,0.28596203739319315,42.80526101589203,78.65572331816949
historical_2015_2024,understat_shots_per90,20793.0,1.3602703966810283,3.1630798047277073,0.0,0.0,0.3452685421994885,0.8677685950413223,1.9003789929615595,3.4593079018919353,180.0,28.7741849238813
historical_2015_2024,understat_key_passes_per90,20793.0,0.9473137515724439,2.364852145201746,0.0,0.0,0.2101821578701541,0.7306273062730627,1.275992438563327,2.3157567340352467,90.0,28.321336780463962
historical_2015_2024,understat_xg_chain_per90,20793.0,0.3852516599299061,0.9055767042892222,0.0,0.0286309056717862,0.1716935049686656,0.3104037466623064,0.4885120970717112,0.8684776835570667,105.66720128059389,80.92938804780384
historical_2015_2024,understat_xg_buildup_per90,20793.0,0.22199263211520234,0.8352277058142332,0.0,0.0,0.0963928831103993,0.1700361918371457,0.2717808894275113,0.525568132635058,105.66720128059389,101.99712422171064
historical_2015_2024,shot_on_target_rate,20793.0,0.3057244908964574,0.24634825808289373,0.0,0.0,0.0,0.3333333333333333,0.4736842105263157,0.6842105263157895,1.0,0.48299605060214507
historical_2015_2024,goal_conversion_rate,20793.0,0.08475032636430517,0.12366988644022125,0.0,0.0,0.0,0.032258064516129,0.1428571428571428,0.2916666666666667,1.0,2.9106341485818907
historical_2015_2024,dribble_success_rate,20793.0,0.4946472421139576,0.291232208466593,0.0,0.0,0.3529411764705882,0.5151515151515151,0.6666666666666666,1.0,1.0,-0.26446254191113067
historical_2015_2024,duel_win_rate,20793.0,0.49149319016523907,0.18241684040097172,0.0,0.0,0.4193548387096774,0.5,0.5722543352601156,0.8,1.0,-0.3181600226271648
historical_2015_2024,goals_minus_xg,20793.0,-0.0977773270065628,1.2165343202744165,-11.143249057233334,-1.9134285103529691,-0.5444289976730943,-0.0604061996564269,0.2067978978157043,1.8999136568978416,10.114825829863548,0.44477159205547545
historical_2015_2024,np_goals_minus_np_xg,20793.0,-0.10366964615909302,1.1987398396658793,-11.112291682511568,-1.8806967873126266,-0.5458203721791506,-0.0640415996313095,0.1908888146281238,1.8527735728770487,9.719112798571588,0.4257532354329835
historical_2015_2024,assists_minus_xa,20793.0,-0.07597276504255301,1.0184543498981602,-9.266709440387784,-1.7011151630431414,-0.4752704845741391,-0.0439835004508495,0.242409510537982,1.6168130718171596,6.97500766068697,0.2521227387807001
historical_2015_2024,xg_xa_per90,20793.0,0.24673656252420695,0.78368966610115,0.0,0.0,0.0524761129879573,0.1464924836510661,0.3448102822044705,0.7034607003523589,98.3396691083908,96.11892698967452
historical_2015_2024,np_xg_xa_per90,20793.0,0.2380096255984129,0.7803610795689262,0.0,0.0,0.0521818845236039,0.1434183392244883,0.3313605992886749,0.6669164210957388,98.3396691083908,97.37924793327767
historical_2015_2024,goals_assists_per90,20793.0,0.20166262684557304,0.3714007911006784,0.0,0.0,0.0,0.101,0.296,0.7010000000000001,30.0,28.57288972409032
historical_2015_2024,cards_per90,20793.0,0.2812727525793056,1.6020104369865438,0.0,0.0,0.04,0.1700251889168765,0.3180212014134275,0.6847580629596013,90.0,46.51618187387006
historical_2015_2024,api_minutes_pos_season_pct,20793.0,0.5009618621651516,0.2886647369000689,0.0011350737797956,0.0520716685330347,0.2508792497069168,0.5011135857461024,0.7510176390773405,0.9514991146303163,1.0,0.000252459556806782
historical_2015_2024,api_avg_rating_pos_season_pct,20793.0,0.5009618621651517,0.28867921995460627,0.0010905125408942,0.05068315353160365,0.2508771929824561,0.5006605019815059,0.7508792497069168,0.9508970900533775,1.0,2.826230065706438e-05
historical_2015_2024,goals_assists_per90_pos_season_pct,20793.0,0.5009618621651517,0.2735872029112781,0.0995670995670995,0.1245614035087719,0.2130257801899593,0.4888888888888889,0.7326923076923076,0.9498762376237624,1.0,0.14130336633212212
historical_2015_2024,xg_xa_per90_pos_season_pct,20793.0,0.5009618621651516,0.2847712638706821,0.0158264947245017,0.04628352916637697,0.2722772277227723,0.4840132304299889,0.7508792497069168,0.951050477650319,1.0,0.04386620895103012
historical_2015_2024,np_xg_xa_per90_pos_season_pct,20793.0,0.5009618621651517,0.2847712638706821,0.0158264947245017,0.04628352916637697,0.2722419928825623,0.4840132304299889,0.7508896797153025,0.9509570522644527,1.0,0.043866188453321214
historical_2015_2024,understat_xg_chain_per90_pos_season_pct,20793.0,0.5009618621651517,0.28866481517751774,0.0087924970691676,0.051516195981958564,0.2508771929824561,0.501010101010101,0.7509113001215066,0.9509570522644527,1.0,0.000566348448480756
historical_2015_2024,understat_xg_buildup_per90_pos_season_pct,20793.0,0.5009618621651517,0.288644744238118,0.0109739368998628,0.0476618705035971,0.2508792497069168,0.5010822510822511,0.7509113001215066,0.951050477650319,1.0,0.0012301862170880113
historical_2015_2024,api_tackles_total_per90_pos_season_pct,20793.0,0.5009618621651517,0.2670903485681195,0.0191815856777493,0.0719696969696969,0.3446782178217821,0.4225978647686833,0.732685297691373,0.9508080870405788,1.0,0.18795066310986597
historical_2015_2024,api_duels_won_per90_pos_season_pct,20793.0,0.5009618621651517,0.2879204996887211,0.005427408412483,0.05789234721309512,0.2428057553956834,0.5006393861892583,0.7510094212651414,0.9506615237858236,1.0,0.01551172245402459
